SteamId,Username,Time
76561198050792757,justMaki,51.08725
76561199126724675,ZOMAN,51.23766
76561198001387193,Warcans,51.36148
76561198106476018,ttv/jandjetv,51.48932
76561198447684490,Rigenix,51.50602
76561199230094250,[FTR]Fwogiie.Kawaii,51.74798
76561198353455576,GeneralYoda,51.90059
76561198031919228,Akane,51.96582
76561198068885599,Spuzzle,52.10479
76561198008859132,Lazy_Echidna,52.10791
76561198152852852,SadD0ge,52.17887
76561198991002114,Mr Ragdoll,52.29884
76561198047403251,St Nicholas,52.44239
76561198081356099,Sandals,52.50214
76561198168946802,Coffeebro,52.64521
76561198067925412,AndMe13,52.71781
76561198043268277,Frog Mime,53.02551
76561198259463003,TTV/R0nanC,53.23063
76561198855034411,Grimmlon,53.23503
76561199137807850,CDAW,53.26101
76561198123116932,nate69cam,53.28781
76561198846673916,Matic_D,53.47388
76561198207957111,Lord Mendigo,53.4925
76561198001257036,dejman,53.49715
76561199086270133,mvos88,53.52914
76561199053404858,[OR] Roader,53.59953
76561198040976717,ttv/Lilly the Bun,53.72282
76561197989028539,Diabler,53.74637
76561198029508562,Cold Deck? ...,53.87949
76561197996872205,Erko,54.09922
76561198079708481,Father Maldonado,54.15261
76561198027978961,Rorroh,54.24744
76561198968586064,Trouble_2X,54.46233
76561198838593572,invisiblecat8,54.55667
76561198100712511,TTV/BlackHawkXNL,54.64545
76561198115077065,Khord,55.17976
76561198394674653,unaratta,55.70821
76561198041135033,profwaldone,56.33607
76561199060323532,deathcount610,56.70397
76561199122070413,anthonkarlsson10,56.84197
76561198373517455,Miss Hulky,57.13301
76561198288239563,MetalBomb269,57.74741
76561198809831367,That1DudeYouHate,57.76604
76561198011349021,mumboking,58.46349
76561198450461661,tritontrin,59.28738
76561198225327104,AlexdaCat,61.33579
76561199083193027,ThySirSlime,62.20512
