SteamId,Username,Time
76561198106476018,ttv/jandjetv,77.88864
76561198031919228,Akane,77.98376
76561198447684490,Rigenix,79.38848
76561198008859132,Lazy_Echidna,80.34084
76561198001387193,Warcans,80.80798
76561199126724675,ZOMAN,81.105
76561198152852852,SadD0ge,81.11224
76561198081356099,Sandals,81.76686
76561198991002114,Mr Ragdoll,81.96098
76561199230094250,[FTR]Fwogiie.Kawaii,81.96967
76561198259463003,TTV/R0nanC,82.07063
76561198353455576,GeneralYoda,82.20306
76561198001257036,dejman,82.79511
76561198067925412,AndMe13,83.01627
76561198029508562,Cold Deck? ...,83.39633
76561198047403251,St Nicholas,83.39906
76561198050792757,justMaki,83.45554
76561198062354991,RuthlessTex,83.64972
76561198100712511,TTV/BlackHawkXNL,83.67998
76561197996872205,Erko,83.70129
76561197998573980,DownloadFLD,84.37963
76561198168946802,Coffeebro,84.65172
76561199056982478,zackspigelman,85.28052
76561198968586064,Trouble_2X,85.88714
76561198846673916,Matic_D,86.01467
76561198041135033,profwaldone,86.40044
76561198373517455,Miss Hulky,86.51864
76561198225327104,AlexdaCat,87.59144
76561198043268277,Frog Mime,87.60571
76561199053404858,[OR] Roader,87.73545
76561198011349021,mumboking,87.87495
76561198838593572,invisiblecat8,88.63615
76561198207957111,Lord Mendigo,89.55576
76561197989028539,Diabler,89.70893
76561199086270133,mvos88,89.87794
76561198394674653,unaratta,90.85904
76561198079708481,Father Maldonado,91.50233
76561199060323532,deathcount610,91.50657
76561198450461661,tritontrin,91.8252
76561198139937395,Massagraf,91.96683
76561198040976717,ttv/Lilly the Bun,93.20559
76561198123116932,nate69cam,94.73395
76561199083193027,ThySirSlime,96.95144
