SteamId,Username,Time
76561198081356099,Sandals,48.05361
76561198106476018,ttv/jandjetv,48.12794
76561198001387193,Warcans,48.33117
76561198050792757,justMaki,48.4761
76561199230094250,[FTR]Fwogiie.Kawaii,48.68084
76561199126724675,ZOMAN,49.0593
76561198115077065,Khord,49.28147
76561199292634733,zodiak,49.71088
76561198100712511,TTV/BlackHawkXNL,50.1132
76561197996872205,Erko,50.14365
76561199053404858,[OR] Roader,50.28419
76561198067925412,AndMe13,50.39838
76561198259463003,TTV/R0nanC,50.54786
76561198991002114,Mr Ragdoll,50.72408
76561198968586064,Trouble_2X,50.94878
76561198008859132,Lazy_Echidna,51.32909
76561198031919228,Akane,51.4242
76561198838593572,invisiblecat8,51.4404
76561198373517455,Miss Hulky,51.44273
76561198027978961,Rorroh,51.67667
76561198047403251,St Nicholas,51.86665
76561198855034411,Grimmlon,51.94277
76561199137807850,CDAW,52.10616
76561198011349021,mumboking,52.12216
76561199208705958,Envious*,52.33924
76561198062354991,RuthlessTex,52.34424
76561198353455576,GeneralYoda,52.46288
76561198096236961,koz,52.47808
76561197998573980,DownloadFLD,52.6258
76561198001257036,dejman,52.7231
76561198043268277,Frog Mime,52.82779
76561198029508562,Cold Deck? ...,53.47595
76561198447684490,Rigenix,53.98434
76561199003276953,Me Raj,54.01793
76561198168946802,Coffeebro,54.24809
76561198207957111,Lord Mendigo,54.46574
76561198857826561,DragonBoi,54.72434
76561199086270133,mvos88,55.25515
76561198816444867,wagonster,56.1072
76561198846673916,Matic_D,56.14591
76561199247238254,Acedelfy,56.59484
76561199060323532,deathcount610,56.63152
76561198123116932,nate69cam,56.84325
76561198040976717,ttv/Lilly the Bun,57.03223
76561198041135033,profwaldone,61.73455
76561198295781786,kctheewok,64.21822
76561199083193027,ThySirSlime,65.29655
76561198394674653,unaratta,67.34534
