SteamId,Username,Time
76561198050792757,justMaki,76.49338
76561198106476018,ttv/jandjetv,76.58384
76561198847576929,Lightning,77.70871
76561199230094250,[FTR]Fwogiie.Kawaii,78.44501
76561198896246339,RoundNzt,78.52893
76561197989028539,Diabler,79.18488
76561198031919228,Akane,79.19991
76561199126724675,ZOMAN,79.35719
76561198008859132,Lazy_Echidna,80.32728
76561198012873957,Frixion,80.55585
76561198078203272,Psycho No. 7,80.59663
76561198065543771,idk man,80.69509
76561198259463003,TTV/R0nanC,80.88237
76561198838593572,invisiblecat8,81.19492
76561198047403251,St Nicholas,81.36166
76561198353575625,Forewander,83.90936
76561198932043314,Metalted,83.91958
76561198067925412,AndMe14,84.06509
76561197996376845,Arder,84.14228
76561198201861161,maikelvg,84.48962
76561199075268962,hit_thepacecar,84.9007
76561199115313906,Pigbuy,85.05733
76561197979087520,Mokster,85.51692
76561197972325111,Snad,86.17559
76561199013714548,Chapin,86.29659
76561198000493194,MCRJAKE,87.38566
76561199259736237,Commander Cody,88.63737
76561198043268277,Frog Mime,88.9341
76561199169728015,SuburbianLord,89.06725
76561198109881901,Kabs666,89.87332
76561198040976717,ttv/Lilly the Bun,91.14017
76561198050886736,Roddhill,91.93903
76561198045413240,Eatin'Beaver,92.56338
76561199095656953,hugotait,95.01863
76561198040723193,BlackBullfrog,98.00838
76561198331571202,Y,101.5279
76561199125432357,muffins0319,117.0863
