SteamId,Username,Time,ZeepkistId, ColorId, HatId
76561198161379363,[CTR] Cbad Cruiser,60.83963,22000,3002,18000000
76561198081356099,[CTR] Sandals,61.56835,40000000,3006,28000
76561199173536675,[CTR]OwlPlague,61.5826,41000,3005,27000
76561198155015234,VirusCookies,61.84067,15000,1008,11000
76561198104372256,Jakie Cash,61.97046,44000,3006,18000002
76561198857826561,DragonBoi,63.24808,12000000,3003,28000
76561198027978961,[CLMTY] Rorroh,64.70579,8000,1003,6001
76561198128443715,B-Unit,65.69166,37000,1004,5003
76561197965640463,L3it3R,67.38562,32000000,2001,29000000
76561198256080744,Joshuee1912,74.10938,7000,1002,22000
