SteamId,Username,Time,ZeepkistId, ColorId, HatId
76561198050792757,justMaki,52.48742,36000000,3006,56000000
76561198106476018,[CTR] jandje,52.56226,49000001,2002,18000002
76561199126724675,ZOMAN,52.96147,35000,1002,6000
76561198896246339,RoundNzt,53.24936,44000,1002,13001
76561198008859132,Lazy_Echidna,53.31219,41000,3004,22001
76561199230094250,[RTR]Ragetoad.Kawaii,53.6344,38000000,1001,10001
76561198847576929,Lightning,53.94846,38006,3004,6300
76561198067925412,AndMe14,54.64111,15000,1006,27000000
76561198043268277,Frog Mime,54.65883,5004,3006,23007
76561199016181953,Ebruis,54.78836,3007,3006,35000000
76561198932043314,Metalted,54.98154,25000,3001,23001
76561197989028539,Diabler,55.02025,1008,1001,22001
76561198023336905,Hademar,55.60992,31000000,1000,24000000
76561198086671586,Wesley,55.77117,13000,2000,2011
76561198838593572,invisiblecat8,56.34481,3007,1009,30000
76561198123116932,nate69cam,56.49401,38004,2000,5001
76561197996376845,Arder,57.16276,3004,1003,2001
76561198109881901,Kabs666,57.28993,13000,1001,23000000
76561197979087520,Mokster,57.38794,6002,1003,6200
76561198040976717,ttv/Lilly the Bun,57.44743,13003,2002,30000
76561198304929551,Certified Bruh Moment™,57.66959,26000000,1005,6003
76561198029508562,Cold Deck? ...,58.52588,41000,2002,22007
76561198056901817,(..)Mercy,58.62806,35005,1002,28000000
76561198031919228,Akane,60.39417,55000001,3006,30000000
76561199121770655,MatieBoyYT,70.0388,38001,2000,2002
