SteamId,Username,Time,ZeepkistId, ColorId, HatId
76561198081356099,[CTR] Sandals,54.99969,40000000,3006,28000
76561198161379363,[CTR] Cbad Cruiser,55.27227,22000,3002,18000000
76561198155015234,VirusCookies,55.67103,15000,1008,11000
76561199173536675,[CTR]OwlPlague,56.01361,41000,3005,27000
76561197965640463,L3it3R,56.33768,32000000,2001,29000000
76561198027978961,[CLMTY] Rorroh,57.2369,8000,1003,6001
76561198079618904,AuroTheAzure,57.36433,35006,2001,25000
76561198256080744,Joshuee1912,60.85825,7000,1002,22000
76561199217544926,dirtyboy58,63.49447,6001,3000,13001
76561198146205647,uria8833 the cat,64.29759,38003,1006,2004
